DATE,AEXINUS
1973-01-01,7.6541
1974-01-01,8.0289
1975-01-01,8.4086
1976-01-01,8.9715
1977-01-01,8.7683
1978-01-01,8.1979
1979-01-01,8.1564
1980-01-01,7.8868
1981-01-01,8.6807
1982-01-01,9.4847
1983-01-01,10.1041
1984-01-01,11.3465
1985-01-01,12.3318
1986-01-01,12.5967
1987-01-01,12.9469
1988-01-01,13.8995
1989-01-01,16.2131
1990-01-01,17.4922
1991-01-01,22.7116
1992-01-01,28.1558
1993-01-01,31.2911
1994-01-01,31.3939
1995-01-01,32.4181
1996-01-01,35.506
1997-01-01,36.3645
1998-01-01,41.3561
1999-01-01,43.1274
2000-01-01,44.9975
2001-01-01,47.22
2002-01-01,48.6257
2003-01-01,46.5908
2004-01-01,45.261
2005-01-01,44.0002
2006-01-01,45.1861
2007-01-01,41.1774
2008-01-01,43.3859
2009-01-01,48.3324
2010-01-01,45.6507
2011-01-01,46.5782
2012-01-01,53.3743
2013-01-01,58.5149
2014-01-01,60.9953
2015-01-01,64.1073
2016-01-01,67.1572
2017-01-01,65.0659
2018-01-01,68.3734
2019-01-01,70.3777
